Participant,DateTime,Method,AppsNumber,Trial,Selection,Distance,SeenTimeMillis,SeekStartedTimeMillis,DataFoundTimeMillis,Rechecks,NrErrors
P2,41517.639780092592,Flipping,2,2,2,0,5475.105,4705.104,4705.104,0,0
P2,41517.639826388891,Flipping,2,2,3,0,4639.0508,3944.0498,3944.0498,0,0
P2,41517.63989583333,Flipping,2,3,1,1,6254.0475,5594.0466,3284.0433,0,0
P2,41517.639988425923,Flipping,2,3,2,0,7174.0627,6464.0617,6464.0617,1,0
P2,41517.640034722222,Flipping,2,3,3,0,3902.0416,3362.0408,3362.0408,0,0
P2,41517.640115740738,Flipping,2,4,1,2,7491.0867,6951.086,3981.0818,0,0
P2,41517.640231481484,Flipping,2,4,2,0,9815.11,9265.1092,9265.1092,2,0
P2,41517.640324074076,Flipping,2,4,3,2,8434.0516,7699.0506,7699.0506,1,0
P2,41517.640405092592,Flipping,2,5,1,2,6332.0461,5632.0451,3227.0417,0,0
P2,41517.640439814815,Flipping,2,5,2,2,3607.0345,2927.0335,2927.0335,0,0
P2,41517.640555555554,Flipping,2,5,3,3,10252.0488,9677.048,9677.048,2,0
P2,41517.640636574077,Flipping,2,6,1,1,6193.0442,5473.0432,3393.0403,0,0
P2,41517.640694444446,Flipping,2,6,2,1,5458.0664,4828.0655,4828.0655,0,0
P2,41517.640787037039,Flipping,2,6,3,2,7959.0767,7484.076,7484.076,1,0
P3,41517.742835648147,Flipping,1,1,1,1,13482.0594,20687.0695,6297.0494,1,0
P3,41517.742962962962,Flipping,1,1,2,1,11375.1719,9860.1698,9860.1698,0,0
P3,41517.743055555555,Flipping,1,1,3,1,7560.1105,6620.1092,6620.1092,0,0
P3,41517.74318287037,Flipping,1,2,1,2,11553.0593,10478.0578,5563.0509,2,0
P3,41517.743263888886,Flipping,1,2,2,2,6497.1222,5572.1209,5572.1209,0,0
P3,41517.743356481478,Flipping,1,2,3,2,7874.1253,7244.1244,7244.1244,0,0
P3,41517.743495370371,Flipping,1,3,1,2,11883.0813,11128.0802,4723.0712,1,0
P3,41517.74355324074,Flipping,1,3,2,2,5066.0646,4291.0635,4291.0635,0,0
P3,41517.743622685186,Flipping,1,3,3,2,6295.0401,5585.0391,5585.0391,0,0
P3,41517.743738425925,Flipping,1,4,1,2,10376.0492,8561.0467,4636.0412,0,0
P3,41517.743842592594,Flipping,1,4,2,2,8071.1503,6831.1486,6831.1486,0,0
P3,41517.743900462963,Flipping,1,4,3,2,5469.0698,4599.0686,4599.0686,0,0
P3,41517.743958333333,Flipping,1,5,1,0,5462.0454,4662.0443,3537.0427,0,0
P3,41517.744050925925,Flipping,1,5,2,0,7997.1134,4857.109,4857.109,2,0
P3,41517.744131944448,Flipping,1,5,3,0,6588.0669,5743.0657,5743.0657,0,0
P3,41517.74423611111,Flipping,1,6,1,2,8955.1158,8095.1146,4770.1099,0,0
P3,41517.744317129633,Flipping,1,6,2,2,7410.2031,6705.2022,6705.2022,2,0
P3,41517.744409722225,Flipping,1,6,3,2,7088.1234,6393.1224,6393.1224,0,0
P3,41517.747569444444,Flipping,2,1,2,0,4850.0654,4025.0642,4025.0642,0,0
P3,41517.747650462959,Flipping,2,1,3,0,6144.0992,5569.0984,5569.0984,0,0
P3,41517.747719907406,Flipping,2,2,1,0,6803.0496,6168.0487,4123.0458,1,0
P3,41517.747812499998,Flipping,2,2,2,0,7092.043,6357.042,6357.042,1,0
P3,41517.747870370367,Flipping,2,2,3,0,5096.0457,4351.0447,4351.0447,0,0
P3,41517.74795138889,Flipping,2,3,1,3,7562.0793,7012.0786,3762.074,0,0
P3,41517.74800925926,Flipping,2,3,2,3,5225.079,4635.0782,4635.0782,0,0
P3,41517.748055555552,Flipping,2,3,3,3,3747.0391,3282.0384,3282.0384,0,0
P3,41517.748113425929,Flipping,2,4,1,0,4472.041,3957.0403,3102.0391,0,0
P3,41517.748182870368,Flipping,2,4,2,0,6551.0438,5906.0429,5906.0429,1,0
P3,41517.748252314814,Flipping,2,4,3,0,5749.0526,5254.0519,5254.0519,1,0
P3,41517.74832175926,Flipping,2,5,1,0,6043.0444,5493.0436,3613.0409,0,0
P3,41517.748368055552,Flipping,2,5,2,0,3665.0417,3255.0411,3255.0411,0,0
P3,41517.748449074075,Flipping,2,5,3,1,7398.0445,6853.0438,6853.0438,1,0
P3,41517.748541666668,Flipping,2,6,1,1,7921.0422,7476.0415,5461.0387,4,0
P3,41517.748680555553,Flipping,2,6,2,1,11886.0454,11161.0444,11161.0444,1,0
P3,41517.748738425929,Flipping,2,6,3,1,4842.0434,4402.0428,4402.0428,0,0
P3,41517.749745370369,Flipping,3,1,1,0,19650.2758,19750.276,13570.2673,4,0
P3,41517.749849537038,Flipping,3,1,2,1,9482.0494,8827.0485,8827.0485,4,0
P3,41517.749907407408,Flipping,3,1,3,1,4285.0361,3710.0353,3710.0353,0,0
P3,41517.75,Flipping,3,2,1,1,8357.1003,7867.0996,3947.0941,1,0
P3,41517.750057870369,Flipping,3,2,2,1,4810.0714,4275.0707,4275.0707,0,0
P3,41517.750104166669,Flipping,3,2,3,1,3822.0451,3297.0443,3297.0443,0,0
P3,41517.750173611108,Flipping,3,3,1,3,6692.1049,6237.1043,3897.101,0,0
P3,41517.750219907408,Flipping,3,3,2,3,3773.066,3308.0653,3308.0653,0,0
P3,41517.750300925924,Flipping,3,3,3,0,7054.0447,6559.044,6559.044,1,0
P3,41517.750347222223,Flipping,3,4,1,0,4066.0367,3721.0362,3006.0352,0,0
P3,41517.750439814816,Flipping,3,4,2,1,8073.0383,7593.0376,7593.0376,1,0
P3,41517.750497685185,Flipping,3,4,3,1,4338.0408,3728.04,3728.04,0,0
P3,41517.750567129631,Flipping,3,5,1,1,6406.0872,5836.0864,3551.0832,0,0
P3,41517.750636574077,Flipping,3,5,2,0,5840.0639,5475.0634,5475.0634,1,0
P3,41517.750706018516,Flipping,3,5,3,0,6573.085,6148.0844,6148.0844,1,0
P3,41517.750763888886,Flipping,3,6,1,0,4487.0429,4032.0423,3122.041,0,0
P3,41517.750844907408,Flipping,3,6,2,0,7005.0453,6535.0446,6535.0446,1,0
P3,41517.750949074078,Flipping,3,6,3,3,9398.049,8833.0482,8833.0482,1,0
P4,04/09/2013 6:48:47 PM,Flipping,1,1,2,1,6625.0092,5100.0071,5100.0071,0,0
P4,04/09/2013 6:48:54 PM,Flipping,1,1,3,1,7165.0101,4665.0066,4665.0066,0,0
P4,04/09/2013 6:49:03 PM,Flipping,1,2,1,1,8340.0117,7410.0104,3335.0047,1,0
P4,04/09/2013 6:49:09 PM,Flipping,1,2,2,1,6875.0096,5585.0078,5585.0078,0,0
P4,04/09/2013 6:49:17 PM,Flipping,1,2,3,1,7275.0102,5660.008,5660.008,0,0
P4,04/09/2013 6:49:35 PM,Flipping,1,3,1,0,18685.0694,17550.0678,4465.0495,2,0
P4,04/09/2013 6:49:49 PM,Flipping,1,3,2,0,13120.0183,5370.0075,5370.0075,0,0
P4,04/09/2013 6:49:54 PM,Flipping,1,3,3,0,5264.074,3934.0721,3934.0721,0,0
P4,04/09/2013 6:50:01 PM,Flipping,1,4,1,2,6840.0442,5870.0428,3600.0396,0,0
P4,04/09/2013 6:50:06 PM,Flipping,1,4,2,2,5695.0685,4765.0672,4765.0672,0,0
P4,04/09/2013 6:50:11 PM,Flipping,1,4,3,2,5097.0536,3962.052,3962.052,0,0
P4,04/09/2013 6:50:17 PM,Flipping,1,5,1,0,5691.0473,4851.0461,3671.0445,0,0
P4,04/09/2013 6:50:21 PM,Flipping,1,5,2,0,4237.0449,3387.0437,3387.0437,0,0
P4,04/09/2013 6:50:26 PM,Flipping,1,5,3,0,4242.0431,3427.042,3427.042,0,0
P4,04/09/2013 6:50:35 PM,Flipping,1,6,1,3,9570.0748,8695.0735,4320.0674,0,0
P4,04/09/2013 6:50:40 PM,Flipping,1,6,2,3,5319.0529,4414.0516,4414.0516,0,0
P4,04/09/2013 6:50:46 PM,Flipping,1,6,3,3,5394.0463,4004.0444,4004.0444,0,0
P4,04/09/2013 6:56:35 PM,Flipping,2,1,1,0,14577.0791,12292.0759,6352.0676,1,0
P4,04/09/2013 6:56:39 PM,Flipping,2,1,2,0,4435.0062,3425.0048,3425.0048,0,0
P4,04/09/2013 6:56:49 PM,Flipping,2,1,3,0,9615.0135,8740.0122,8740.0122,2,1
P4,04/09/2013 6:56:57 PM,Flipping,2,2,1,2,8335.0117,7575.0106,4275.006,0,0
P4,04/09/2013 6:57:02 PM,Flipping,2,2,2,2,5395.0075,4570.0064,4570.0064,0,0
P4,04/09/2013 6:57:16 PM,Flipping,2,2,3,2,13255.0186,12525.0176,12525.0176,2,0
P4,04/09/2013 6:57:21 PM,Flipping,2,3,1,0,5225.0073,4455.0062,3480.0049,0,0
P4,04/09/2013 6:57:26 PM,Flipping,2,3,2,0,4980.007,4335.0061,4335.0061,0,0
P4,04/09/2013 6:57:35 PM,Flipping,2,3,3,2,9430.0132,8565.012,8565.012,1,0
P4,04/09/2013 6:57:42 PM,Flipping,2,4,1,1,7110.0099,6280.0088,3400.0047,0,0
P4,04/09/2013 6:57:50 PM,Flipping,2,4,2,1,7385.0104,6565.0092,6565.0092,1,0
P4,04/09/2013 6:57:54 PM,Flipping,2,4,3,1,4470.0062,3835.0053,3835.0053,0,0
P4,04/09/2013 6:58:00 PM,Flipping,2,5,1,0,5800.0081,5040.007,4070.0056,0,0
P4,04/09/2013 6:58:05 PM,Flipping,2,5,2,0,5080.0072,4420.0062,4420.0062,0,0
P4,04/09/2013 6:58:09 PM,Flipping,2,5,3,0,4175.0058,3395.0047,3395.0047,0,0
P4,04/09/2013 6:58:17 PM,Flipping,2,6,1,2,7860.011,7055.0099,3420.0048,0,0
P4,04/09/2013 6:58:24 PM,Flipping,2,6,2,0,6550.0092,5705.008,5705.008,1,0
P4,04/09/2013 6:58:32 PM,Flipping,2,6,3,2,8360.0117,7565.0106,7565.0106,1,0
P4,04/09/2013 7:00:58 PM,Flipping,3,1,1,3,9460.0133,8130.0114,4185.0059,0,0
P4,04/09/2013 7:01:07 PM,Flipping,3,1,2,2,9155.0128,8280.0116,8280.0116,1,0
P4,04/09/2013 7:01:12 PM,Flipping,3,1,3,2,4575.0064,3555.005,3555.005,0,0
P4,04/09/2013 7:01:19 PM,Flipping,3,2,1,2,7315.0102,6475.009,3475.0048,0,0
P4,04/09/2013 7:01:30 PM,Flipping,3,2,2,3,10510.0147,9685.0135,9685.0135,1,0
P4,04/09/2013 7:01:36 PM,Flipping,3,2,3,3,6395.009,4780.0067,4780.0067,0,0
P4,04/09/2013 7:01:43 PM,Flipping,3,3,1,1,6400.009,5485.0077,3280.0046,0,0
P4,04/09/2013 7:01:53 PM,Flipping,3,3,2,1,9925.0139,9210.0129,9210.0129,1,0
P4,04/09/2013 7:01:57 PM,Flipping,3,3,3,1,4495.0062,3805.0053,3805.0053,0,0
P4,04/09/2013 7:02:04 PM,Flipping,3,4,1,1,7060.0098,6370.0089,4115.0057,0,0
P4,04/09/2013 7:02:11 PM,Flipping,3,4,2,0,6745.0095,5915.0083,5915.0083,1,0
P4,04/09/2013 7:02:18 PM,Flipping,3,4,3,0,7250.0101,4565.0064,4565.0064,0,0
P4,04/09/2013 7:02:28 PM,Flipping,3,5,1,2,9485.0133,8750.0122,3855.0054,0,0
P4,04/09/2013 7:02:32 PM,Flipping,3,5,2,2,4725.0066,3675.0051,3675.0051,0,0
P4,04/09/2013 7:02:42 PM,Flipping,3,5,3,2,9400.0132,8675.0122,8675.0122,1,0
P4,04/09/2013 7:02:49 PM,Flipping,3,6,1,1,7655.0107,6635.0093,3405.0048,0,0
P4,04/09/2013 7:02:58 PM,Flipping,3,6,2,1,8165.0114,7400.0103,7400.0103,1,0
P4,04/09/2013 7:03:07 PM,Flipping,3,6,3,2,9175.0129,8375.0117,8375.0117,1,0
P5,41521.564016203702,Flipping,1,1,2,2,12630.0177,11355.0159,11355.0159,0,0
P5,41521.564108796294,Flipping,1,1,3,2,7810.011,6165.0087,6165.0087,0,0
P5,41521.564270833333,Flipping,1,2,1,3,13790.0193,12755.0179,8395.0118,0,0
P5,41521.564398148148,Flipping,1,2,2,3,10805.0151,9660.0135,9660.0135,0,0
P5,41521.564583333333,Flipping,1,2,3,3,15725.022,14685.0205,14685.0205,2,0
P5,41521.564722222225,Flipping,1,3,1,1,12580.0176,11365.0159,7960.0111,0,0
P5,41521.564837962964,Flipping,1,3,2,1,9990.014,8755.0122,8755.0122,0,0
P5,41521.564930555556,Flipping,1,3,3,1,8115.0114,4970.007,4970.007,0,0
P5,41521.565046296295,Flipping,1,4,1,0,10205.0143,8980.0126,7500.0105,0,0
P5,41521.565150462964,Flipping,1,4,2,0,8355.0117,7035.0099,7035.0099,0,0
P5,41521.565243055556,Flipping,1,4,3,0,8260.0115,7195.01,7195.01,0,0
P5,41521.565393518518,Flipping,1,5,1,2,13160.0185,12150.0171,8330.0117,2,0
P5,41521.565520833334,Flipping,1,5,2,2,11260.0157,6110.0085,6110.0085,0,0
P5,41521.565601851849,Flipping,1,5,3,2,6385.009,5295.0075,5295.0075,0,0
P5,41521.565752314818,Flipping,1,6,1,3,13355.0187,12355.0173,7430.0104,0,0
P5,41521.565844907411,Flipping,1,6,2,3,7850.011,6905.0097,6905.0097,0,0
P5,41521.565937500003,Flipping,1,6,3,3,7980.0111,6885.0096,6885.0096,0,0
P5,41521.570069444446,Flipping,2,1,2,3,11725.0165,10585.0149,10585.0149,2,0
P5,41521.570289351854,Flipping,2,1,3,3,19100.0267,18085.0253,18085.0253,1,0
P5,41521.570393518516,Flipping,2,2,1,0,9320.0131,8205.0115,6910.0097,0,0
P5,41521.570555555554,Flipping,2,2,2,1,13975.0195,13080.0183,13080.0183,1,0
P5,41521.570752314816,Flipping,2,2,3,0,16735.0234,15815.0221,15815.0221,2,0
P5,41521.571180555555,Flipping,2,3,2,3,6420.009,5385.0075,5385.0075,0,0
P5,41521.571319444447,Flipping,2,3,3,3,11985.0168,11075.0155,11075.0155,2,0
P5,41521.571435185186,Flipping,2,4,1,0,9535.0134,8615.0121,7315.0103,0,0
P5,41521.571608796294,Flipping,2,4,2,2,15545.0217,14660.0205,14660.0205,1,0
P5,41521.572060185186,Flipping,2,5,1,0,8015.0112,6965.0098,5625.0079,0,0
P5,41521.572210648148,Flipping,2,5,2,0,12240.0171,11405.0159,11405.0159,0,0
P5,41521.572291666664,Flipping,2,5,3,0,7035.0099,6040.0085,6040.0085,0,0
P5,41521.57240740741,Flipping,2,6,1,1,10305.0144,9545.0134,6505.0091,0,0
P5,41521.572627314818,Flipping,2,6,2,0,18530.0259,17475.0244,17475.0244,2,0
P5,41521.572743055556,Flipping,2,6,3,0,10895.0153,10070.0141,10070.0141,0,0
P5,41521.576944444445,Flipping,3,1,3,1,7905.011,6805.0095,6805.0095,0,0
P5,41521.578460648147,Flipping,3,2,3,3,12450.0175,11190.0157,11190.0157,0,0
P5,41521.578645833331,Flipping,3,3,1,1,16305.0228,15290.0214,12475.0175,0,0
P5,41521.578842592593,Flipping,3,3,2,3,17165.024,15950.0223,15950.0223,1,0
P5,41521.579062500001,Flipping,3,3,3,1,19240.027,17990.0252,17990.0252,2,0
P5,41521.579189814816,Flipping,3,4,1,2,10790.0151,9875.0138,5290.0074,0,0
P5,41521.579375000001,Flipping,3,4,2,3,16150.0226,15325.0215,15325.0215,1,0
P5,41521.57953703704,Flipping,3,4,3,2,13065.0183,12090.0169,12090.0169,1,0
P5,41521.579675925925,Flipping,3,5,1,3,12695.0178,11485.0161,5470.0077,0,0
P5,41521.57984953704,Flipping,3,5,2,1,14870.0208,13855.0194,13855.0194,1,0
P6,41521.642731481479,Flipping,1,1,2,2,6095.0085,4800.0067,4800.0067,0,0
P6,41521.642789351848,Flipping,1,1,3,2,5300.0074,4400.0061,4400.0061,0,0
P6,41521.642893518518,Flipping,1,2,1,3,8920.0125,7925.0111,4725.0066,0,0
P6,41521.642962962964,Flipping,1,2,2,3,5330.0075,4455.0062,4455.0062,0,0
P6,41521.64303240741,Flipping,1,2,3,3,6235.0087,5390.0075,5390.0075,0,0
P6,41521.643125000002,Flipping,1,3,1,1,7850.011,7040.0098,4050.0057,0,0
P6,41521.643240740741,Flipping,1,3,2,1,9850.0138,8975.0126,8975.0126,0,0
P6,41521.643333333333,Flipping,1,3,3,1,8765.0123,3640.0051,3640.0051,0,1
P6,41521.64340277778,Flipping,1,4,1,0,5575.0078,4720.0066,3975.0056,0,0
P6,41521.643460648149,Flipping,1,4,2,0,4975.007,4195.0059,4195.0059,0,0
P6,41521.643506944441,Flipping,1,4,3,0,4385.0061,3580.005,3580.005,0,0
P6,41521.643611111111,Flipping,1,5,1,1,8395.0117,7775.0108,5640.0079,0,0
P6,41521.643657407411,Flipping,1,5,2,1,4530.0064,3705.0052,3705.0052,0,0
P6,41521.643761574072,Flipping,1,5,3,1,8805.0123,8210.0115,8210.0115,2,0
P6,41521.643865740742,Flipping,1,6,1,2,9370.0131,8480.0118,5690.0079,0,0
P6,41521.643935185188,Flipping,1,6,2,2,5655.0079,4935.0069,4935.0069,0,0
P6,41521.644016203703,Flipping,1,6,3,2,7115.01,6450.009,6450.009,2,0
P6,41521.646585648145,Flipping,2,1,3,1,7545.0105,6585.0092,6585.0092,0,0
P6,41521.646724537037,Flipping,2,2,1,1,11720.0164,9705.0136,5935.0083,0,0
P6,41521.646921296298,Flipping,2,2,2,2,16715.0234,15520.0217,15520.0217,4,0
P6,41521.646990740737,Flipping,2,2,3,2,6130.0086,4950.0069,4950.0069,0,0
P6,41521.647152777776,Flipping,2,3,1,2,13935.0195,11690.0163,5360.0075,0,0
P6,41521.647222222222,Flipping,2,3,2,2,5830.0082,4620.0065,4620.0065,0,0
P6,41521.647349537037,Flipping,2,3,3,3,11200.0157,10320.0145,10320.0145,1,0
P6,41521.647453703707,Flipping,2,4,1,1,9405.0131,8230.0115,4620.0064,2,0
P6,41521.647534722222,Flipping,2,4,2,1,6500.0091,5430.0076,5430.0076,0,0
P6,41521.647592592592,Flipping,2,4,3,1,4990.007,4020.0056,4020.0056,0,0
P6,41521.647673611114,Flipping,2,5,1,1,7115.01,6240.0087,3960.0055,0,0
P6,41521.647766203707,Flipping,2,5,2,0,8100.0113,7140.01,7140.01,1,0
P6,41521.647893518515,Flipping,2,5,3,1,10900.0153,9740.0136,9740.0136,3,0
P6,41521.648032407407,Flipping,2,6,1,3,11850.0166,10990.0154,5210.0073,0,0
P6,41521.648078703707,Flipping,2,6,2,3,4700.0066,3690.0052,3690.0052,0,0
P6,41521.648159722223,Flipping,2,6,3,0,6675.0093,5865.0082,5865.0082,1,0
P6,41521.650219907409,Flipping,3,1,2,1,10190.0143,8995.0126,8995.0126,1,0
P6,41521.650347222225,Flipping,3,1,3,1,11345.0159,10440.0146,10440.0146,2,0
P6,41521.65042824074,Flipping,3,2,1,3,6455.009,5700.0079,3385.0047,0,0
P6,41521.65053240741,Flipping,3,2,2,3,9120.0128,8320.0116,8320.0116,1,0
P6,41521.650625000002,Flipping,3,2,3,3,8770.0123,8090.0113,8090.0113,1,0
P6,41521.650706018518,Flipping,3,3,1,3,6935.0097,6120.0086,3355.0047,0,0
P6,41521.650763888887,Flipping,3,3,2,3,4450.0062,3770.0052,3770.0052,0,0
P6,41521.650856481479,Flipping,3,3,3,3,8360.0117,7630.0106,7630.0106,1,0
